,Permit#,Permit Type,Subtype,Address,Work Description,Issue Date,Expiration Date
18139,LD21-000054,Land Disturbance,Land Disturbance,28003 CO RD 181,"23.23 ac tract will have 11 each 3 story multifamily bld, pool, clubhouse, dog park, 563 parking spaces & other associated improvements.",07/14/2021,01/14/2022
18396,ULD23-000005,Unzoned Land Disturbance,Unzoned Land Disturbance,25726 COUNTY RD 87,Grand River Motorsports Park,05/09/2023,11/09/2023
18434,ULD23-000008,Unzoned Land Disturbance,Unzoned Land Disturbance,,park model installation,03/07/2023,08/07/2023
18463,ZLD23-000017,Zoned Land Disturbance,Zoned-Land Disturbance,27645 STATE HWY 181,"Grade, Cut/Fill and Develop the site according to Civil Documents. Install associated utilities to supply building needs. Install access road and required parking. ALDOT approval has been received and uploaded.",02/13/2023,08/13/2023
18481,ULD23-000016,Unzoned Land Disturbance,Unzoned Land Disturbance,42781 JONES RD,"complete a 4 bedroom, 3 1/2 bath brick and hardi siding home with attached 2 car garage",02/16/2023,08/16/2023
18533,ZLD23-000026,Zoned Land Disturbance,Zoned-Land Disturbance,11811 STATE HWY 180,Filling/grading,04/25/2023,10/25/2023
18537,ZLD23-000028,Zoned Land Disturbance,Zoned-Land Disturbance,18688 ASPEN CIR,Grading,03/09/2023,09/09/2023
18544,ULD23-000023,Unzoned Land Disturbance,Unzoned Land Disturbance,,Mondragon Property,03/10/2023,09/10/2023
18747,ZLD23-000045,Zoned Land Disturbance,Zoned-Land Disturbance,10756 GAYFER RD,Removing brush and placing sod,04/20/2023,10/20/2023
18880,ULD23-000046,Unzoned Land Disturbance,Unzoned Land Disturbance,6553 BON SECOUR HWY,New Residential Construction,05/23/2023,11/23/2023
18944,ULD23-000050,Unzoned Land Disturbance,Unzoned Land Disturbance,10771 THOMPSON RD,New single family brick residence for the Becks,06/06/2023,12/06/2023
19159,ULD23-000074,Unzoned Land Disturbance,Unzoned Land Disturbance,16789 RIVER RD,Demo old house,08/03/2023,02/03/2024
19266,ZLD22-000067,Zoned Land Disturbance,Zoned-Land Disturbance,2107 CLUB HOUSE DR,Land disturbance associated with tree removal from Hurricane Sally Damage and Shoreline Protection,10/05/2022,04/05/2023
19324,ZLD22-000072,Zoned Land Disturbance,Zoned-Land Disturbance,20651 BRINKS WILLIS RD,Rv storage,08/31/2022,02/28/2023
19405,ULD22-000127,Unzoned Land Disturbance,Unzoned Land Disturbance,10175 ROSEWOOD LN,UNZONED LAND DISTURBANCE Residential Gunite Pool Build,10/04/2022,04/04/2023
19424,ULD22-000128,Unzoned Land Disturbance,Unzoned Land Disturbance,14926 WORCESTER DR,"Dredge, Boathouse and Deck",10/05/2022,04/05/2023
19449,ULD22-000131,Unzoned Land Disturbance,Unzoned Land Disturbance,16926 RIVER DR,Residential home,10/20/2022,04/20/2023
19506,ULD22-000134,Unzoned Land Disturbance,Unzoned Land Disturbance,,Forest Mulch .25 acre residential lot in Robinson Branch subdivision (0 Bridgeport Dr),11/10/2022,05/10/2023
19623,ULD22-000155,Unzoned Land Disturbance,Unzoned Land Disturbance,,New Home,12/13/2022,06/13/2023
19667,ULD22-000044,Unzoned Land Disturbance,Unzoned Land Disturbance,13975 FISH RIVER ACRES CIR,"repair boathouse bulkhead, boat launch",03/28/2022,09/28/2022
19763,ZLD22-000016,Zoned-Land Disturbance,Zoned-Land Disturbance,28376 U S HWY 98,RV Park,06/15/2022,12/15/2022
19768,ZLD22-000017,Zoned-Land Disturbance,Zoned-Land Disturbance,12349 CO RD 1,"(item 1) Install 3' to 4' out from base of existing bulkhead new #2 rip rap in front of existing bay front bulkhead, this is needed maintenance; (item 2) Install and connect water and sewer taps, we have pre-paid tap fees from previous owner; (item 3) maintenance of wash out areas at previous fill; (item 4) lot maintenance of clean-up of trash, brush and small nuisance trees.",05/02/2022,11/02/2022
19796,ZLD22-000019,Zoned-Land Disturbance,Zoned-Land Disturbance,8439 STATE HWY 180,Bulkhead,05/03/2022,11/03/2022
19800,ZLD22-000021,Zoned-Land Disturbance,Zoned-Land Disturbance,10785 COUNTY RD 1,Fill driveway with rock,05/09/2022,11/09/2022
19926,ULD22-000078,Unzoned Land Disturbance,Unzoned Land Disturbance,16912 COUNTY RD 16,detached garage,06/15/2022,12/15/2022
19984,ULD22-000081,Unzoned Land Disturbance,Unzoned Land Disturbance,3934 La Fitte BLVD,new construction single family residence,06/17/2022,12/17/2022
20004,ZLD22-000043,Zoned Land Disturbance,Zoned-Land Disturbance,636 BOYKIN CT,Bulkhead Repair,06/21/2022,12/21/2022
20201,LD21-000152,Zoning - Land Disturbance,Land Disturbance,30708 ONO NORTH LOOP W,Clear lot so that final water distribution plan and grading plan can be prepared; also need to clear in order to determine placement of new house and new pool,11/19/2021,05/19/2022
20269,LD21-000165,Zoning - Land Disturbance,Land Disturbance,15050 A COUNTY RD 49,Site clearing of organics and general soil remediation ***APPLICANT APPLIED FOR LAND DISTURBANCE INSTEAD OF UNZONED LAND DISTURBANCE***,01/19/2022,07/19/2022
20390,LD22-000010,Zoning - Land Disturbance,Land Disturbance,25171 STATE HWY 59,Construct additional Storage Units in accordance with approved Master plan,03/04/2022,09/04/2022
20410,ULD22-000013,Unzoned Land Disturbance,Unzoned Land Disturbance,6446 COOK RD,Pole Barn for RV,02/11/2022,08/11/2022
20558,ULD22-000033,Unzoned Land Disturbance,Unzoned Land Disturbance,17308 PETTIBONE LN,demo/fill dirt,10/26/2022,04/26/2023
20560,ULD22-000034,Unzoned Land Disturbance,Unzoned Land Disturbance,17636 CO RD 10,New Mobile Home,03/04/2022,09/04/2022
20633,LD21-000058,Land Disturbance,Land Disturbance,9655 MILTON JONES RD,Mini Warehouse Storage,07/27/2021,01/27/2022
20939,LD21-000113,Land Disturbance,Land Disturbance,8792 DOLPHIN LN,level and grade house site,10/15/2021,04/15/2022
20950,LD21-000116,Land Disturbance,Land Disturbance,17860 BURWICK LOOP,Residential Construction (Single family),11/03/2021,05/03/2022
20981,LD21-000123,Land Disturbance,Land Disturbance,9337 BAY RD,dig up concrete footer from demolished building and replace with dirt.,10/18/2021,04/18/2022
21009,LD21-000134,Land Disturbance,Land Disturbance,25801 CO RD 54 W,Construction of boat/RV storage buildings at an existing boat/RV storage facility.,10/28/2021,04/28/2022
21417,LD21-000010,Land Disturbance,Land Disturbance,8206 DELTA WOODS DR,Clear for future residential building,02/24/2021,08/24/2021
21436,LD21-000011,Land Disturbance,Land Disturbance,,Clearing debris from storms and then grading land. Material will be added to fill in low spots caused by the cleanup. Some areas have large holes because of trees falling and pulling up the dirt. These areas will be filled and graded,03/03/2021,09/03/2021
21508,LD21-000020,Land Disturbance,Land Disturbance,36088 BOYKIN BLVD,replace sand / dirt where storm Sally removed. put all new sod down on disturbed areas.,03/24/2021,11/25/2021
21615,LD21-000032,Land Disturbance,Land Disturbance,9704 STATE HWY 180,"Clearing and grubbing, grading, utility installation, and landscaping associated with new building and parking lot for a new commercial retail store.",04/12/2021,10/12/2021
21662,LD21-000034,Land Disturbance,Land Disturbance,9020 Neumann RD,New Single Family,05/03/2021,11/03/2021
21669,LD21-000037,Land Disturbance,Land Disturbance,31249 OAK DR,Lot Clearing,05/05/2021,11/05/2021
21853,ULD23-000079,Unzoned Land Disturbance,Unzoned Land Disturbance,14872 WORCESTER DR,Building a Barndaminium,08/08/2023,02/08/2024
21941,ZLD23-000032,Zoned Land Disturbance,Zoned-Land Disturbance,SAWGRASS DR,Remove and rebuild current boardwalk,03/24/2023,09/24/2023
21999,ZLD23-000036,Zoned Land Disturbance,Zoned-Land Disturbance,30745 ONO NORTH LOOP,Re gravel driveway,04/04/2023,10/04/2023
22097,ULD23-000037,Unzoned Land Disturbance,Unzoned Land Disturbance,16682 KEENEY DR,Land Disturbance,04/18/2023,10/18/2023
22104,ZLD23-000043,Zoned Land Disturbance,Zoned-Land Disturbance,8865 SHORE DR,Fill in with dirt in area around septic system which holds water due to neighbor building driveway and diverting water to our property,04/27/2023,10/27/2023
22199,ZLD23-000052,Zoned Land Disturbance,Zoned-Land Disturbance,12774 5TH ST,gravel unimproved right of way to access our property driveway. Pavement of 5th street ends prior to our property driveway,05/11/2023,11/11/2023
22228,ZLD23-000058,Zoned Land Disturbance,Zoned-Land Disturbance,11007 COUNTY RD 1,Bulkhead built and fill sand put behind bulkhead,06/12/2023,12/12/2023
22301,ZLD23-000065,Zoned Land Disturbance,Zoned-Land Disturbance,8370 GAYFER RD,Create gravel overflow parking area,06/07/2023,12/07/2023
22321,ZLD23-000069,Zoned Land Disturbance,Zoned-Land Disturbance,11149 COUNTY RD 1,Filling and Grading,06/12/2023,12/12/2023
22381,ZLD23-000082,Zoned Land Disturbance,Zoned-Land Disturbance,23267 US HWY 90,Develop an access road to North end of property,06/29/2023,12/29/2023
22495,ZLD23-000108,Zoned Land Disturbance,Zoned-Land Disturbance,11811 NANCY LOOP,Bringing in dirt (Filling),08/04/2023,02/04/2024
22509,ZLD22-000090,Zoned Land Disturbance,Zoned-Land Disturbance,17475 SCENIC HWY 98,"Install brick wall with max height of 18"" to prevent further undermining and erosion of public sidewalk and property owner beach",10/27/2022,04/27/2023
22673,ULD22-000162,Unzoned Land Disturbance,Unzoned Land Disturbance,25546 GOAT COOPER RD,Construct a set of stairs from a 4' x 4' landing at edge of property down to the water,12/21/2022,06/21/2023
22749,ULD23-000001,Unzoned Land Disturbance,Unzoned Land Disturbance,11161 OLIVE CT,Removed Pine trees that were infested with Pine Beetles,04/12/2023,10/12/2023
22864,ULD23-000010,Unzoned Land Disturbance,Unzoned Land Disturbance,COUNTY ROAD 28,Shooting Range,03/02/2023,09/02/2023
22894,ULD23-000012,Unzoned Land Disturbance,Unzoned Land Disturbance,17965 LEWIS SMITH DR,10x24 foot unattached deck construction,02/13/2023,08/13/2023
22907,ULD23-000014,Unzoned Land Disturbance,Unzoned Land Disturbance,14175 JACKSON LN,while performing a fire restoration of the dwelling we will be forming and pouring a 26x16 concrete patio/parking pad which will involve sand clay backfill,02/21/2023,08/21/2023
22908,ULD23-000015,Unzoned Land Disturbance,Unzoned Land Disturbance,8033 NALL RD LOT #3,drive way and tree removal,03/24/2023,09/24/2023
23005,ZLD22-000053,Zoned Land Disturbance,Zoned-Land Disturbance,32334 SANDPIPER DR,"Redressing existing driveway with gravel, not changing grade, dead tree removal, approximately 1 load sand",07/12/2022,12/29/2022
23080,ZLD22-000061,Zoned Land Disturbance,Zoned-Land Disturbance,10848 Mary Ann Beach RD,"site work, removing fallen timber, house pad prep",08/04/2022,02/16/2024
23182,ULD22-000116,Unzoned Land Disturbance,Unzoned Land Disturbance,4858 COUNTY RD 6,Added 6 Loads of Fill Dirt to Build 2 Trailer Pads.,03/21/2023,09/30/2023
23272,ZLD22-000077,Zoned Land Disturbance,Zoned-Land Disturbance,2446 CHOCTAW RD,Replace existing bulkhead and boat dock within original footprint.,10/04/2022,04/04/2023
23492,ZLD22-000010,Zoned-Land Disturbance,Zoned-Land Disturbance,6602 CO RD 32,Install Mobile home on home site ***FILLING and GRADING FOR PAD ONLY***,04/18/2022,09/29/2023
23512,ZLD22-000012,Zoned-Land Disturbance,Zoned-Land Disturbance,31295 DOLPHIN DR,"pier, boathouse and replace back rods on bulkhead and repair top of bulkhead",04/27/2022,10/27/2022
23617,ZLD22-000025,Zoned-Land Disturbance,Zoned-Land Disturbance,9588 CLARKE RIDGE RD,Fill and grade sand for walking,08/23/2022,02/23/2023
23631,ULD22-000063,Unzoned Land Disturbance,Unzoned Land Disturbance,14735 OAK HILL DR,Build 3000 square foot unheated barn,06/03/2022,12/03/2022
23782,ULD22-000082,Unzoned Land Disturbance,Unzoned Land Disturbance,16127 Quericia LN,Mobile Home,07/06/2022,01/06/2023
23976,LD21-000158,Zoning - Land Disturbance,Land Disturbance,35797 BOYKIN BLVD,Tree removal and fill dirt for future construction,05/20/2022,11/20/2022
24172,ULD22-000016,Unzoned Land Disturbance,Unzoned Land Disturbance,8190 HARRY MORRIS LN,New residential construction,03/07/2022,09/07/2022
24178,LD22-000019,Zoning - Land Disturbance,Land Disturbance,30899 ONO NORTH LOOP,retainer wall,02/15/2022,08/15/2022
24184,LD22-000022,Zoning - Land Disturbance,Land Disturbance,17175 A SCENIC HWY 98,Replace damaged wooden bulkhead with new block retaining wall,02/28/2022,08/28/2022
24194,LD22-000025,Zoning - Land Disturbance,Land Disturbance,26096 ST HWY 181,"Access Road, drainage, and utilities",07/27/2022,11/01/2023
24200,LD22-000026,Zoning - Land Disturbance,Land Disturbance,7540 CIPRIANO CT,Drainage Outlet Repair with RipRap Protection,03/15/2022,09/23/2022
24263,LD22-000042,Zoning - Land Disturbance,Land Disturbance,10515 CO RD 1,Removal of two trees,03/10/2022,09/10/2022
24300,ULD22-000031,Unzoned Land Disturbance,Unzoned Land Disturbance,10176 CO RD 32,roads to access property,03/18/2022,09/18/2022
24385,LD21-000064,Land Disturbance,Land Disturbance,0 ONO NORTH LOOP,Clear lot for new construction,07/28/2021,01/28/2022
24424,LD21-000077,Land Disturbance,Land Disturbance,7185 CO RD 32,Construction of pond,08/17/2021,02/17/2022
24494,LD21-000085,Land Disturbance,Land Disturbance,28023 LEITERMAN RD,Footer dug and poured,08/31/2021,03/03/2022
24545,LD21-000095,Land Disturbance,Land Disturbance,6823 SALTAIRE LN,New Single Family,09/16/2021,03/16/2022
24581,LD21-000099,Land Disturbance,Land Disturbance,13240 COUNTY RD 54,Downed and damaged tree clearing from Hurricane Sally along with some underbrush clearing as well,09/27/2021,03/27/2022
24678,LD21-000128,Land Disturbance,Land Disturbance,9281 WOODLAND DR,Removal of trees/stumps damaged by Hurricane Sally,07/21/2022,01/21/2023
24827,LD20-000010,Land Disturbance,Land Disturbance,0 Foley Beach Express,Storage Building,12/17/2020,06/17/2021
24964,LD21-000003,Land Disturbance,Land Disturbance,22600 PATTERSON RD,pre engineered metal building,01/21/2021,01/21/2021
25359,LD21-000040,Land Disturbance,Land Disturbance,0 MARLIN KEY RD,"Clearing of lot, grading, dig out for boathouse",05/10/2021,11/10/2021
25553,ULD23-000043,Unzoned Land Disturbance,Unzoned Land Disturbance,,removing fallen trees from Hurrician Sallly,05/31/2023,12/01/2023
25558,ULD23-000044,Unzoned Land Disturbance,Unzoned Land Disturbance,14250 DRAGOON CT,Erection of pre-engineered steel metal building,05/17/2023,11/17/2023
25612,ZLD23-000060,Zoned Land Disturbance,Zoned-Land Disturbance,,Add fill dirt and gravel for driveway,06/26/2023,12/26/2023
25636,ZLD23-000063,Zoned Land Disturbance,Zoned-Land Disturbance,18232 CC RD,Pond,06/09/2023,12/09/2023
25646,ULD23-000047,Unzoned Land Disturbance,Unzoned Land Disturbance,,Cleaning out and widening existing pond,06/02/2023,12/02/2023
25785,ZLD23-000088,Zoned Land Disturbance,Zoned-Land Disturbance,COUNTY RD 55,Driveway (3),07/17/2023,01/17/2024
25949,ZLD22-000101,Zoned Land Disturbance,Zoned-Land Disturbance,1274 EWING PL,Build 275' of upland retaining wall,02/01/2023,08/01/2023
26000,ZLD23-000003,Zoned Land Disturbance,Zoned-Land Disturbance,0 County Road 1,Removing pile of debris and mulching the area,01/05/2023,01/21/2024
26105,ZLD23-000010,Zoned Land Disturbance,Zoned-Land Disturbance,19070 GREENO RD,Paving Existing Drive,06/01/2023,12/01/2023
26534,ZLD22-000064,Zoned Land Disturbance,Zoned-Land Disturbance,8351 BAY HARBOR RD,backfilled bulkhead,08/18/2022,02/17/2023
26577,ZLD22-000066,Zoned Land Disturbance,Zoned-Land Disturbance,11411 WARRIE CREEK,Lot clearing,08/09/2022,02/09/2023
26690,ZLD22-000079,Zoned Land Disturbance,Zoned-Land Disturbance,23785 HAVASU DR,Removal of old retaining wall and install of new retaining wall in its place.,11/17/2022,05/17/2023
26727,ULD22-000129,Unzoned Land Disturbance,Unzoned Land Disturbance,18383 U S HWY 98,Climate Controlled Storage,02/09/2023,08/09/2023
26810,ZLD22-000089,Zoned Land Disturbance,Zoned-Land Disturbance,22251 COUNTY RD 85,Clearing,11/23/2022,09/09/2023
27035,ZLD22-000014,Zoned-Land Disturbance,Zoned-Land Disturbance,35809 BOYKIN BLVD,Excavation and Fill,04/29/2022,10/29/2022
27061,ULD22-000056,Unzoned Land Disturbance,Unzoned Land Disturbance,52233 B STATE HWY 225,Equipment Barn,06/21/2022,12/21/2022
27099,ULD22-000059,Unzoned Land Disturbance,Unzoned Land Disturbance,13152 ARBOR TRACE,METAL STORAGE BUILDING,05/17/2022,11/17/2022
27332,ULD22-000085,Unzoned Land Disturbance,Unzoned Land Disturbance,10279 ROSEWOOD LN,10279 Rosewood Ln,07/02/2022,12/16/2022
27372,ZLD22-000052,Zoned Land Disturbance,Zoned-Land Disturbance,8671 BAY HARBOR RD,bring dirt in for house pad,06/05/2023,12/05/2023
27646,LD22-000004,Zoning - Land Disturbance,Land Disturbance,11323 TALL TIMBERS LN,clearing lot for future residential build,01/25/2022,07/25/2022
27751,ULD22-000025,Unzoned Land Disturbance,Unzoned Land Disturbance,8657 CO RD 11,Build Barn,03/03/2022,09/03/2022
27861,ZLD22-000001,Zoning - Land Disturbance,Zoned-Land Disturbance,19823 DONNIE WATERS RD,test,04/05/2022,10/05/2022
27928,ZLD22-000008,Zoned-Land Disturbance,Zoned-Land Disturbance,10041 US HWY 31,Clearing of property only,08/03/2022,05/23/2023
27929,ULD22-000049,Unzoned Land Disturbance,Unzoned Land Disturbance,21516 DOC MCDUFFIE RD,mobile home ***COMPLAINT FILED FOR SUBDIVISION VIOLATION File #: 22-002814*** FAMILY EXEMPTION RECEIVED.,07/08/2022,01/08/2023
28076,LD21-000072,Land Disturbance,Land Disturbance,0 MARLIN KEY RD,"Remove all the dead trees on the lot. Clear the driveway, apron and future home location of trees and brush. Put geofabric down on the driveway and apron and cover with crushed concrete/gravel.",08/16/2021,02/16/2022
28149,LD21-000087,Land Disturbance,Land Disturbance,23440 MILDORF RD,Placed dirt on property to fill in low areas,08/31/2021,03/03/2022
28425,LD21-000025,Land Disturbance,Land Disturbance,30896 Ono North LOOP,Site Work for New Single Family Dwelling,03/23/2021,09/23/2021
